symptom_localname,symptom_zh,symptom_en,icd11_id,icd11_term,mapType
sx_肋间胀满,肋间胀满,intercostal distension and fullness,ME81.0,Intercostal pain,close
sx_肋间胀满,肋间胀满,intercostal distension and fullness,XA5HJ3,Intercostal nerve,close
sx_剧痛,剧痛,Severe pain,XS2E,Severe pain,exact
sx_剧痛,剧痛,Severe pain,XS25,Severe,close
sx_剧痛,剧痛,Severe pain,XS2U,Severe pain-related interference,close
sx_皮肤麻木,皮肤麻木,Skin numbness,SC62,Numbness disorder (TM1),close
sx_皮肤麻木,皮肤麻木,Skin numbness,SK54,Numbness disorder (TM2),close
sx_得食痛减,得食痛减,pain relieved by eating,SF7C,Stomach qi deficiency pattern (TM1),close
sx_蜘蛛痣,蜘蛛痣,Spider angioma,XE75L,Spider,close
sx_呕声壮厉,呕声壮厉,forceful vomiting sound,MD90.1,Vomiting,close
sx_脐流脓水,脐流脓水,pus discharge from umbilicus,XA3MT8,Umbilicus,close
sx_皮疹结滋痴,皮疹结滋痴,serum-crusted rash,ME66.6Z,"Rash, unspecified",close
sx_皮疹结滋痴,皮疹结滋痴,serum-crusted rash,ME66.6Y,Other specified rash,close
sx_皮疹结滋痴,皮疹结滋痴,serum-crusted rash,XM5083,Antirabies hyperimmune serum,close
sx_精液量少,精液量少,scanty semen,SF96,Kidney essence deficiency pattern (TM1),close
sx_精液量少,精液量少,scanty semen,SF20,Essence deficiency pattern (TM1),close
sx_无尿,无尿,Anuria,MF51,Anuria or oliguria,close
sx_睡中流涎,睡中流涎,drooling during sleep,7B00.2,Sleep terrors,close
sx_气喘息粗,气喘息粗,Dyspnea,MD11.5,Dyspnoea,exact
sx_进食无味,进食无味,tasteless eating (loss of taste),VW24,Eating,close
sx_脘胀,脘胀,epigastric distension,SA52,Epigastric distension disorder (TM1),close
sx_月经间期阴道流血,月经间期阴道流血,intermenstrual vaginal bleeding,GA20.20,Intermenstrual bleeding,close
sx_鼻端微黄,鼻端微黄,Slight yellow tip-of-nose,XA04T9,Skin of nose,close
sx_腹痛,腹痛,Abdominal pain,MD81,Abdominal pain,exact
sx_苔厚,苔厚,Fast-growing nails,DA01.Y,Coated tongue,exact
sx_脓夹血块,脓夹血块,pus with blood clots,XM2NV9,Blood (derivatives) (natural) (plasma) (whole),close
sx_脓夹血块,脓夹血块,pus with blood clots,QE50.5,Discord with counsellors,close
sx_脓色灰,脓色灰,Gray pus,SF9G,Bladder dampness-heat pattern (TM1),close
sx_脓色灰,脓色灰,Gray pus,SF8G,Large intestine dampness heat pattern (TM1),close
sx_脓色灰,脓色灰,Gray pus,SF7G,Dampness in the intestines pattern (TM1),close
sx_脐肿,脐肿,umbilical swelling,XA3L42,Umbilical cord,close
sx_脐肿,脐肿,umbilical swelling,XA0VZ0,Umbilical artery,close
sx_脐肿,脐肿,umbilical swelling,DD53,Umbilical hernia,close
sx_脓似蟹沫,脓似蟹沫,crab-foam-like pus,XM5MB3,Crab,close
sx_精液量多,精液量多,profuse semen,XM0MJ2,Hippocastani semen,close
sx_皮疹结黄痴,皮疹结黄痴,yellow-crusted rash,ME66.6Z,"Rash, unspecified",close
sx_皮疹结黄痴,皮疹结黄痴,yellow-crusted rash,ME66.6Y,Other specified rash,close
sx_皮疹结黄痴,皮疹结黄痴,yellow-crusted rash,ME66.61,Rash generalised,close
sx_脓液畅泄,脓液畅泄,free pus discharge,MC14,Eye discharge,close
sx_发热,发热,Fever,MG26,Fever of other or unknown origin,exact
sx_带下色黄,带下色黄,yellow vaginal discharge,MF3A,Vaginal discharge,close
sx_带下色黄,带下色黄,yellow vaginal discharge,MC14,Eye discharge,close
sx_脓色白,脓色白,White pus,XM3DL1,White ash,close
sx_心中懊恼,心中懊恼,heartburn with vexation (irritability),MD95,Heartburn,close
sx_肛门异物感,肛门异物感,foreign-body sensation in the anus,ND71,Foreign body in ear,close
sx_齿黄,齿黄,yellow teeth,XE7WQ,Yellow hornet,close
sx_齿黄,齿黄,yellow teeth,DA07.7,Embedded teeth,close
sx_肛门脱出物壁厚有弹性,肛门脱出物壁厚有弹性,thick-walled elastic anal prolapse,DB53,Anal prolapse,close
sx_肛门脱出物壁厚有弹性,肛门脱出物壁厚有弹性,thick-walled elastic anal prolapse,DB31.2,Rectal prolapse,close
sx_四肢抽搐,四肢抽搐,Spasticity,8A68.Z,Convulsions,exact
sx_小儿哭声延绵,小儿哭声延绵,prolonged crying in children,SE36,Night crying disorder (TM1),close
sx_妊娠厌食,妊娠厌食,anorexia during pregnancy,XT0S,Pregnancy,close
sx_咽喉部有肿起物,咽喉部有肿起物,swelling in the throat,SF93,Kidney yin deficiency pattern (TM1),close
sx_脐中潮湿,脐中潮湿,damp umbilicus,XA3MT8,Umbilicus,close
sx_脐中潮湿,脐中潮湿,damp umbilicus,SF9G,Bladder dampness-heat pattern (TM1),close
sx_牙齿黑斑,牙齿黑斑,black macules on teeth,XM08L6,Afghanistan black,close
sx_口腔黏膜淡白,口腔黏膜淡白,Pale white oral mucosa,XA6NQ7,Oral mucosa,close
sx_皮疹不红,皮疹不红,Red rash,ME66.6Z,"Rash, unspecified",close
sx_皮疹不红,皮疹不红,Red rash,ME66.6Y,Other specified rash,close
sx_皮疹不红,皮疹不红,Red rash,XM3R78,Lebanese red,close
sx_龟头结节,龟头结节,nodule on glans penis,SF55,Liver depression and blood stasis pattern (TM1),close
sx_唇暗红,唇暗红,Dark red lip,XM3R78,Lebanese red,close
sx_鼻塞,鼻塞,Nasal congestion,MD11.9,Nasal congestion,exact
sx_疤痕色黑,疤痕色黑,Black scar,XM2WE8,Mustard black,close
sx_疤痕色黑,疤痕色黑,Black scar,SF01,Blood stasis pattern (TM1),close
sx_精液清冷,精液清冷,clear and cold semen,XM0MJ2,Hippocastani semen,close
sx_皮疹紫红,皮疹紫红,Purplish-red rash,ME66.6Z,"Rash, unspecified",close
sx_皮疹紫红,皮疹紫红,Purplish-red rash,ME66.6Y,Other specified rash,close
sx_皮疹紫红,皮疹紫红,Purplish-red rash,XM3R78,Lebanese red,close
sx_失明,失明,Blindness,9D90.6,Blindness,exact
sx_失明,失明,Blindness,SC70,Night blindness disorder (TM1),close
sx_失明,失明,Blindness,SK63,Day blindness disorder (TM2),close
sx_咳嗽,咳嗽,Cough,MD12,Cough,exact
sx_肛门脱出物色淡红,肛门脱出物色淡红,light-red anal prolapse,DB53,Anal prolapse,close
sx_妇女月经期_寒热往来,妇女月经期，寒热往来,alternating chills and fever during menstruation,SD93,Alternating fever and chills disorder (TM1),close
sx_耳背见紫筋,耳背见紫筋,purple vessels on the back of auricle,NA0B,Injury of the auricle,close
sx_耳背见紫筋,耳背见紫筋,purple vessels on the back of auricle,XA9E26,Skin of auricle,close
sx_疼痛拒按,疼痛拒按,pain aggravated by pressure (refusing pressure),SF01,Blood stasis pattern (TM1),close
sx_精索结节,精索结节,nodule of spermatic cord,XA5KK7,Spermatic Vein,close
sx_精索结节,精索结节,nodule of spermatic cord,GB07.1,"Inflammatory disorders of spermatic cord, tunica vaginalis or vas deferens",close
sx_鼻腔异物,鼻腔异物,foreign body in the nasal cavity,ND72.0,Foreign body in nasal sinus,close
sx_鼻腔异物,鼻腔异物,foreign body in the nasal cavity,ND71,Foreign body in ear,close
sx_血尿,血尿,Hematuria,MF50.4,Haematuria,exact
sx_眼睑下垂,眼睑下垂,Ptosis,SK6L,Ptosis disorder (TM2),close
sx_眼睑下垂,眼睑下垂,Ptosis,LA14.04,Congenital ptosis,close
sx_目上视,目上视,upward deviation of eyes,9C83.11,Upward gaze deviation,close
sx_目上视,目上视,upward deviation of eyes,LB80.2,Radial deviation of fingers,close
sx_皮疹色红,皮疹色红,Skin rash,EM0Z,Rash,exact
sx_挛痛,挛痛,Cramping pain,SF9D,Uterine deficiency cold pattern (TM1),close
sx_经行身痒,经行身痒,body itching during menstruation,SF5H,Liver and kidney yin deficiency pattern (TM1),close
sx_经行身痒,经行身痒,body itching during menstruation,SF82,Lung and kidney yin deficiency pattern (TM1),close
sx_经行身痒,经行身痒,body itching during menstruation,SF93,Kidney yin deficiency pattern (TM1),close
sx_身麻,身麻,body numbness,SC62,Numbness disorder (TM1),close
sx_身麻,身麻,body numbness,SK54,Numbness disorder (TM2),close
sx_带下如水,带下如水,watery vaginal discharge,MF3A,Vaginal discharge,close
sx_两颊黏膜白腐斑块,两颊黏膜白腐斑块,white curdled patches on cheek mucosa,XA6NQ7,Oral mucosa,close
sx_两颊黏膜白腐斑块,两颊黏膜白腐斑块,white curdled patches on cheek mucosa,XA0PT3,Mucosa,close
sx_皮疹浸淫成片,皮疹浸淫成片,oozing rash coalescing into patches,SF02,Blood heat pattern (TM1),close
sx_恶露有块,恶露有块,lochia with clots,SF01,Blood stasis pattern (TM1),close
sx_环状赘皮,环状赘皮,annular skin tag,ME63.6,Chronic discoid or annular skin disorder,close
sx_环状赘皮,环状赘皮,annular skin tag,ME62.8,Acute discoid or annular skin eruption,close
sx_热势起伏,热势起伏,fluctuating fever,1C33,Q fever,close
sx_经期延长,经期延长,Menometrorrhagia,GA20.50,Heavy menstrual bleeding,close
sx_神珠将反,神珠将反,eyeball about to deviate,SF5H,Liver and kidney yin deficiency pattern (TM1),close
sx_带下如泡沫状,带下如泡沫状,foamy vaginal discharge,MF3A,Vaginal discharge,close
sx_耳如蝉鸣,耳如蝉鸣,cicada-like tinnitus,MC41,Tinnitus,close
sx_少气懒言,少气懒言,shortage of qi with reluctance to speak,SF70,Spleen qi deficiency pattern (TM1),close
sx_牙眼痛,牙眼痛,pain at gum margin,XM6DW9,Guar gum (medicinal),close
sx_肉芽烧灼感,肉芽烧灼感,burning sensation of granulation tissue,VV12,Sensation of pain,close
sx_肉芽烧灼感,肉芽烧灼感,burning sensation of granulation tissue,XE7PM,Burning oil,close
sx_肉芽烧灼感,肉芽烧灼感,burning sensation of granulation tissue,VE20,Sensation of pain [BMDS],close
sx_四肢瘦削,四肢瘦削,emaciation of limbs,SF5H,Liver and kidney yin deficiency pattern (TM1),close
sx_四肢瘦削,四肢瘦削,emaciation of limbs,SF7M,Spleen and kidney yang deficiency pattern (TM1),close
sx_腹内包块,腹内包块,intra-abdominal mass,MD82,"Intra-abdominal or pelvic swelling, mass or lump",close
sx_腹内包块,腹内包块,intra-abdominal mass,DD50.20,Primary intra-abdominal hernia,close
sx_腹内包块,腹内包块,intra-abdominal mass,DD50.21,Secondary intra-abdominal hernia,close
sx_皮肤血瘀,皮肤血瘀,Skin blood stasis,SF01,Blood stasis pattern (TM1),close
sx_皮肤血瘀,皮肤血瘀,Skin blood stasis,SF55,Liver depression and blood stasis pattern (TM1),close
sx_嗜食生冷,嗜食生冷,craving for raw and cold food,SF7F,Stomach heat pattern (TM1),close
sx_头发卷曲,头发卷曲,curly hair,ED73.0,Weathered hair,close
sx_大便稀,大便稀,loose stool,XE484,Stool,close
sx_手肿,手肿,hand swelling,SK68,Tear sac swelling disorder (TM2),close
sx_小便浑浊,小便浑浊,turbid urine,SB03,Turbid urine disorder (TM1),close
sx_皮疹搔破出血,皮疹搔破出血,rash bleeding after scratching,ME66.6Z,"Rash, unspecified",close
sx_皮疹搔破出血,皮疹搔破出血,rash bleeding after scratching,ME66.6Y,Other specified rash,close
sx_结节坚硬,结节坚硬,Nodule hardness,SK6T,Phlyctenular nodule disorder (TM2),close
sx_雀目,雀目,night blindness (sparrow eye),5B55.0,Vitamin A deficiency with night blindness,close
sx_雀目,雀目,night blindness (sparrow eye),9D90.6,Blindness,close
sx_雀目,雀目,night blindness (sparrow eye),SC70,Night blindness disorder (TM1),close
sx_三叉神经痛,三叉神经痛,Trigeminal neuralgia,8B82.0,Trigeminal neuralgia,exact
sx_三叉神经痛,三叉神经痛,Trigeminal neuralgia,8A82,Trigeminal autonomic cephalalgias,close
sx_三叉神经痛,三叉神经痛,Trigeminal neuralgia,NA04.4,Injury of trigeminal nerve,close
sx_小腿内侧红丝,小腿内侧红丝,red threads on inner lower leg,XA5U49,Distal lower leg,close
sx_黑睛星鬓,黑睛星鬓,star-like corneal opacities,9A77.Z,"Corneal scars or opacities, unspecified",close
sx_脊椎凸出,脊椎凸出,spinal protrusion,XE72S,Material protrusion or extrusion,close
sx_呃声高亢,呃声高亢,high-pitched hiccup,SF7F,Stomach heat pattern (TM1),close
sx_呃声高亢,呃声高亢,high-pitched hiccup,SE72,Heat pattern (TM1),close
sx_指变黑坏死,指变黑坏死,black necrotic finger,XM08L6,Afghanistan black,close
sx_鼻头红,鼻头红,Red tip-of-nose,XA3057,Supratip of nose,close
sx_鼻头红,鼻头红,Red tip-of-nose,XA04T9,Skin of nose,close
sx_腹大如鼓,腹大如鼓,drum-like abdominal distension,ME01,Abdominal distension,close
sx_腹大如鼓,腹大如鼓,drum-like abdominal distension,SM31,Abdominal distension disorder (TM2),close
sx_久不欲食,久不欲食,chronic poor appetite,XT8W,Chronic,close
sx_呕吐苦水,呕吐苦水,vomiting of bitter fluid,MD90.1,Vomiting,close
sx_鼻端微黑,鼻端微黑,Slight black tip-of-nose,XA04T9,Skin of nose,close
sx_鼻端微黑,鼻端微黑,Slight black tip-of-nose,XA3ZG3,Infratip lobule of nose,close
sx_带下腐臭,带下腐臭,putrid vaginal discharge,MF3A,Vaginal discharge,close
sx_嗳气低弱,嗳气低弱,weak belching,MD91,Belching,close
sx_嗳气低弱,嗳气低弱,weak belching,SF7C,Stomach qi deficiency pattern (TM1),close
sx_疮臭如鼠尿,疮臭如鼠尿,sore smelling like mouse urine,XE43Q,Mouse urine proteins,close
sx_唇裂,唇裂,Lip fissure,DA00.3,Lip fissure,exact
sx_甲板萎缩,甲板萎缩,Nail-plate atrophy,EE10.4,Nail atrophy,close
sx_易怒,易怒,Irritability,MB24.C,Irritability,exact
sx_肛门脱出物黄白,肛门脱出物黄白,yellow-white anal prolapse,DB53,Anal prolapse,close
sx_喃喃独语,喃喃独语,mumbling soliloquy,SE91,Qi stagnation pattern (TM1),close
sx_皮肤花斑,皮肤花斑,mottled skin,XM6J14,"Protectant, skin",close
sx_乍寒乍热,乍寒乍热,sudden alternating chills and fever,SD93,Alternating fever and chills disorder (TM1),close
sx_乍寒乍热,乍寒乍热,sudden alternating chills and fever,MG21,Chills,close
sx_疮面痛觉消失,疮面痛觉消失,absent pain sensation of sore surface,VV12,Sensation of pain,close
sx_疮面痛觉消失,疮面痛觉消失,absent pain sensation of sore surface,VE20,Sensation of pain [BMDS],close
sx_左侧胸廓隆起,左侧胸廓隆起,left-sided thoracic bulging,XA8A74,Thoracic duct,close
sx_左侧胸廓隆起,左侧胸廓隆起,left-sided thoracic bulging,XK8G,Left,close
sx_左侧胸廓隆起,左侧胸廓隆起,left-sided thoracic bulging,DD71.1,Left sided ulcerative colitis,close
sx_脊柱歪斜,脊柱歪斜,scoliosis (spinal deviation),FA70.1,Scoliosis,exact
sx_脊柱歪斜,脊柱歪斜,scoliosis (spinal deviation),FC01.5,Post radiation scoliosis,close
sx_趺阳脉搏动减弱,趺阳脉搏动减弱,weakened pulsation of Fuyang (dorsalis pedis) pulse,XD8QN4,"Pulse Oximeters, Tabletop",close
sx_带下秽浊,带下秽浊,turbid and filthy vaginal discharge,MF3A,Vaginal discharge,close
sx_后头痛,后头痛,Occiput pain,XA33W1,Occiput,close
sx_嗳气响亮,嗳气响亮,loud belching,MD91,Belching,close
sx_嗳气响亮,嗳气响亮,loud belching,DD90.5,Functional belching disorders,close
sx_阳强,阳强,persistent erection,XT6Z,Persistent,close
sx_阳强,阳强,persistent erection,SB0A,Persistent erection disorder (TM1),close
sx_皮肤苍白,皮肤苍白,Pallor,ME64.2,Pallor,exact
sx_皮肤苍白,皮肤苍白,Pallor,MC16,Pallor conjunctiva,close
sx_鱼际脉络红赤,鱼际脉络红赤,Red thenar-eminence vessels and collaterals,XA2JN4,Thenar eminence,close
sx_鱼际脉络红赤,鱼际脉络红赤,Red thenar-eminence vessels and collaterals,XA57N0,Malar eminence,close
sx_臖核结块推之不移,臖核结块推之不移,immobile xinghe lump,SF5H,Liver and kidney yin deficiency pattern (TM1),close
sx_臖核结块推之不移,臖核结块推之不移,immobile xinghe lump,SF64,Heart yin deficiency pattern (TM1),close
sx_臖核结块推之不移,臖核结块推之不移,immobile xinghe lump,SF93,Kidney yin deficiency pattern (TM1),close
sx_指纹沉隐,指纹沉隐,deep hidden finger venules,XK16,Deep,close
sx_皮肤血疱,皮肤血疱,blood blisters on the skin,SF74,Spleen failing to control the blood pattern (TM1),close
sx_视野窄缩,视野窄缩,narrowing of visual field,QA00.61,Normal Visual Field,close
sx_视野窄缩,视野窄缩,narrowing of visual field,9D41,Impairment of visual field,close
sx_头面呈上大下小的倒梯形,头面呈上大下小的倒梯形,"head and face in inverted-trapezoid shape (large above, small below)",XA9DH2,Trapezoid bone,close
sx_窜痛,窜痛,Shifting pain,SE91,Qi stagnation pattern (TM1),close
sx_肿瘤根深,肿瘤根深,deep-rooted tumor,XK16,Deep,close
sx_嗳气酸馊,嗳气酸馊,sour belching,MD91,Belching,close
sx_嗳气酸馊,嗳气酸馊,sour belching,DD90.5,Functional belching disorders,close
sx_皮肤㿠白,皮肤㿠白,bright pale-white skin,XM6AD6,Egg white,close
sx_水疱壁薄,水疱壁薄,thin-walled blisters,KC40.0,Congenital sucking blisters,close
sx_水疱壁薄,水疱壁薄,thin-walled blisters,EJ40.1,Sunburn with blisters or exudation,close
sx_指暗红,指暗红,Dark red finger,XM3R78,Lebanese red,close
sx_指暗红,指暗红,Dark red finger,MC15,Red eye,close
sx_关节肿大,关节肿大,Joint enlargement,SN08,Prostatic enlargement disorder (TM2),close
sx_头发直立,头发直立,erect hair,XA9N28,Beard hair,close
sx_头发直立,头发直立,erect hair,ED73.0,Weathered hair,close
sx_肩塌,肩塌,shoulder drooping,SF80,Lung qi deficiency pattern (TM1),close
sx_肩塌,肩塌,shoulder drooping,SF6K,Heart and lung qi deficiency pattern (TM1),close
sx_皮肤红点,皮肤红点,red dots on the skin,SF01,Blood stasis pattern (TM1),close
sx_目眶痛,目眶痛,orbital pain,MC86,Precordial pain,close
sx_赘皮柔软,赘皮柔软,Skin tag/redundant skin softness,ME66.2,Excess and redundant skin,close
sx_赘皮柔软,赘皮柔软,Skin tag/redundant skin softness,XM6J14,"Protectant, skin",close
sx_肛门脱出物宽蒂,肛门脱出物宽蒂,broad-stalked anal prolapse,DB53,Anal prolapse,close
sx_指甲脱落,指甲脱落,Onycholysis of fingernails,EE10.2,Onycholysis,close
sx_指甲脱落,指甲脱落,Onycholysis of fingernails,XA0EH9,Fingernails,close
sx_指甲脱落,指甲脱落,Onycholysis of fingernails,XA96Q7,Crura of antihelix,close
sx_尿血鲜红,尿血鲜红,Bright red hematuria,SF9G,Bladder dampness-heat pattern (TM1),close
sx_口噤,口噤,Trismus,SF00,Blood deficiency pattern (TM1),close
sx_口噤,口噤,Trismus,SR1T,Blood deficiency pattern (TM2),close
sx_尿中夹血块,尿中夹血块,blood clots in urine,SF01,Blood stasis pattern (TM1),close
sx_指纹浮露,指纹浮露,superficial visible finger venules,XK7F,Superficial,close
sx_结节暗红,结节暗红,Dark red nodule,SK6T,Phlyctenular nodule disorder (TM2),close
sx_结节暗红,结节暗红,Dark red nodule,XM3R78,Lebanese red,close
sx_下肢青脉硬结,下肢青脉硬结,indurated blue vessels of lower limb,LB9A.0,Amelia of lower limb,close
sx_下肢青脉硬结,下肢青脉硬结,indurated blue vessels of lower limb,1B70.02,Erysipelas of lower limb,close
sx_尿细如线,尿细如线,thread-like urinary stream,MF50.61,Poor urinary stream,close
sx_尿细如线,尿细如线,thread-like urinary stream,MF50.62,Splitting of urinary stream,close
sx_尿细如线,尿细如线,thread-like urinary stream,SF01,Blood stasis pattern (TM1),close
sx_呃声低沉,呃声低沉,low deep hiccup,XK16,Deep,close
sx_呃声低沉,呃声低沉,low deep hiccup,QD51,Low income,close
sx_黑睛花赘,黑睛花赘,floral corneal growth,9A76,Corneal ulcer,close
sx_黑睛花赘,黑睛花赘,floral corneal growth,9A78.0,Corneal neovascularization,close
sx_抑郁,抑郁,Depression,SF5E,Gallbladder depression with phlegm harassment pattern (TM1),close
sx_大眦角赤脉传睛,大眦角赤脉传睛,red vessels spreading from inner canthus to the eye,MC15,Red eye,close
sx_鼻端色青,鼻端色青,Bluish tip-of-nose,XA3057,Supratip of nose,close
sx_鼻端色青,鼻端色青,Bluish tip-of-nose,XA04T9,Skin of nose,close
sx_盯耳,盯耳,cerumen impaction,DA0E.4,Food impaction,close
sx_皮疹不脱屑,皮疹不脱屑,non-scaling rash,SF01,Blood stasis pattern (TM1),close
sx_带下如脓,带下如脓,Vaginal discharge resembling pus,MF3A,Vaginal discharge,close
sx_喜蜷卧,喜蜷卧,preferring to curl up in bed,SF6M,Heart and kidney yang deficiency pattern (TM1),close
sx_喜蜷卧,喜蜷卧,preferring to curl up in bed,SF7M,Spleen and kidney yang deficiency pattern (TM1),close
sx_喜蜷卧,喜蜷卧,preferring to curl up in bed,SF97,Kidney yang deficiency pattern (TM1),close
sx_唇现蓝色,唇现蓝色,bluish lips,XM0BB1,Blue velvet,close
sx_唇现蓝色,唇现蓝色,bluish lips,XM52J2,Heavenly Blue (morning glory),close
sx_小眦角赤脉传睛,小眦角赤脉传睛,red vessels spreading from outer canthus to the eye,MC15,Red eye,close
sx_皮肤红斑,皮肤红斑,Erythematous macule,EM0Z,Erythema,close
sx_声音嘶哑,声音嘶哑,Hoarse voice,MA82.0,Dysphonia,close
sx_太阳穴疼痛,太阳穴疼痛,Temple pain,XA9T94,Temple,close
sx_指甲溃空,指甲溃空,eroded hollow nail,XA6Q52,Nail,close
sx_指甲溃空,指甲溃空,eroded hollow nail,EE10.4,Nail atrophy,close
sx_指甲溃空,指甲溃空,eroded hollow nail,EE10.3,Nail hypertrophy,close
sx_脘部坚满,脘部坚满,hard and full epigastrium,XA8ZL8,Epigastrium,close
sx_皮疹稠密,皮疹稠密,dense rash,SE76,Exterior pattern (TM1),close
sx_皮疹暗红,皮疹暗红,Dark red rash,SF01,Blood stasis pattern (TM1),close
sx_骨擦音,骨擦音,bone crepitus,XM44A4,Bone meal,close
sx_骨擦音,骨擦音,bone crepitus,XA7XM2,Trapezium bone,close
sx_左前胸痛,左前胸痛,left anterior chest pain,MD30.1,Other chest pain,close
sx_左前胸痛,左前胸痛,left anterior chest pain,MC86,Precordial pain,close
sx_阴囊皮肤暗红,阴囊皮肤暗红,Dark red scrotal skin,XM3R78,Lebanese red,close
sx_牙槽骨腐坏,牙槽骨腐坏,alveolar bone necrosis,XA37J7,Alveolar vein,close
sx_头仰,头仰,head tilted back,XA2P90,Back,close
sx_皮肤丘疹,皮肤丘疹,Papule,SF9G,Bladder dampness-heat pattern (TM1),close
sx_小便失禁,小便失禁,Urinary incontinence,MF50.23,Functional urinary incontinence,close
sx_小便失禁,小便失禁,Urinary incontinence,MF50.2Y,Other specified urinary incontinence,close
sx_小便失禁,小便失禁,Urinary incontinence,MF50.2Z,"Urinary incontinence, unspecified",close
sx_阴户痛,阴户痛,Vulvodynia,GA34.02,Vulvodynia,exact
sx_结节色褐,结节色褐,Brown nodule,SK6T,Phlyctenular nodule disorder (TM2),close
sx_精索增粗,精索增粗,Spermatic-cord thickening,XA5KK7,Spermatic Vein,close
sx_斑色晦暗,斑色晦暗,Dull and dark macule,SF7M,Spleen and kidney yang deficiency pattern (TM1),close
sx_斑色晦暗,斑色晦暗,Dull and dark macule,SF97,Kidney yang deficiency pattern (TM1),close
sx_咽痒,咽痒,Pharyngeal itching,XA98C1,Pharyngeal vein,close
sx_咽痒,咽痒,Pharyngeal itching,XA5Q86,Pharyngeal nerve,close
sx_咽痒,咽痒,Pharyngeal itching,XA9LV7,Pharyngeal plexus,close
sx_肿块边界不清,肿块边界不清,ill-defined mass,2D42,Malignant neoplasms of ill-defined sites,close
sx_带下色红,带下色红,Red vaginal discharge,MF3A,Vaginal discharge,exact
sx_带下色红,带下色红,Red vaginal discharge,MC14,Eye discharge,close
sx_舌绛,舌绛,Crimson tongue,XM3R78,Lebanese red,close
sx_舌绛,舌绛,Crimson tongue,DA03.1,Geographic tongue,close
sx_四肢拘急,四肢拘急,Limb joint contracture,FA34.3,Contracture of joint,close
sx_便血暗红,便血暗红,Dark red bloody stool,XE484,Stool,close
sx_背热,背热,Back heat,XA2P90,Back,close
sx_皮肤色赤按之退色,皮肤色赤按之退色,red skin blanching on pressure,SF02,Blood heat pattern (TM1),close
sx_指甲色黑,指甲色黑,Black nail,XA6Q52,Nail,close
sx_指甲色黑,指甲色黑,Black nail,XM08L6,Afghanistan black,close
sx_前额痛,前额痛,Forehead pain,XA1UW4,Paramedian forehead,close
sx_前额痛,前额痛,Forehead pain,XA1Z38,Lateral forehead,close
sx_前额痛,前额痛,Forehead pain,XA9SG2,Central forehead,close
sx_大便灰白,大便灰白,Grayish-white stool,XE484,Stool,close
sx_言语赛涩,言语赛涩,stuttering sluggish speech,MA81,Speech dysfluency,close
sx_言语赛涩,言语赛涩,stuttering sluggish speech,MB23.L,Pressured speech,close
sx_言语赛涩,言语赛涩,stuttering sluggish speech,XC2X,"Oriented, normal speech",close
sx_耳轮肿起,耳轮肿起,swollen helix,XA9A86,Crus of helix,close
sx_耳轮肿起,耳轮肿起,swollen helix,XA7AB8,Spine of helix,close
sx_睑弦赤烂,睑弦赤烂,red erosion of the eyelid margin (marginal blepharitis),XA4AX5,Lower eyelid margin,close
sx_睑弦赤烂,睑弦赤烂,red erosion of the eyelid margin (marginal blepharitis),XA53T1,Upper eyelid margin,close
sx_口腔黏膜斑,口腔黏膜斑,Oral mucosa macule,XA6NQ7,Oral mucosa,close
sx_口腔黏膜斑,口腔黏膜斑,Oral mucosa macule,XA0PT3,Mucosa,close
sx_肿块石硬,肿块石硬,stone-hard mass,SF01,Blood stasis pattern (TM1),close
sx_斑秃,斑秃,Patchy alopecia,SN90,Patchy alopecia disorder (TM2),close
sx_斑秃,斑秃,Patchy alopecia,ED70.20,Patchy alopecia areata of scalp,close
sx_胃脘拘急,胃脘拘急,Epigastrium cramping and tension,XA8ZL8,Epigastrium,close
sx_四肢震颤,四肢震颤,Tremor,8A01,Tremor,exact
sx_食后困顿,食后困顿,drowsiness after meals,SF70,Spleen qi deficiency pattern (TM1),close
sx_水疱壁厚,水疱壁厚,thick-walled blisters,SF77,Spleen yang deficiency pattern (TM1),close
sx_烧伤脱皮,烧伤脱皮,burn skin peeling,ED53,Skin peeling,close
sx_烧伤脱皮,烧伤脱皮,burn skin peeling,EC20.1,Hereditary skin peeling,close
sx_大便无臭,大便无臭,Stool odorless,XE484,Stool,close
sx_转筋,转筋,Muscle cramp,NF06.3,Exercise muscle cramp,close
sx_皮疹结干痴,皮疹结干痴,dry-crusted rash,ME66.6Z,"Rash, unspecified",close
sx_皮疹结干痴,皮疹结干痴,dry-crusted rash,ME66.6Y,Other specified rash,close
sx_皮疹结干痴,皮疹结干痴,dry-crusted rash,ME66.61,Rash generalised,close
sx_交替性鼻塞,交替性鼻塞,alternating nasal obstruction,SK97,Nasal obstruction disorder (TM2),close
sx_交替性鼻塞,交替性鼻塞,alternating nasal obstruction,MB53.0,Alternating hemiplegia,close
sx_耳廓痛,耳廓痛,Auricular pain,XA4WK4,Greater auricular nerve,close
sx_肌肤灼热,肌肤灼热,Skin-and-flesh burning heat,XE7PM,Burning oil,close
sx_尿清,尿清,clear urine,SF9D,Uterine deficiency cold pattern (TM1),close
sx_尿清,尿清,clear urine,SF9J,Bladder deficiency cold pattern (TM1),close
sx_肛门脱出物柔软无弹性,肛门脱出物柔软无弹性,soft inelastic anal prolapse,DB53,Anal prolapse,close
sx_肛门脱出物柔软无弹性,肛门脱出物柔软无弹性,soft inelastic anal prolapse,DB31.2,Rectal prolapse,close
